observation_id,feature_a,feature_b,feature_c,target,split
OBS0001,1.97871,-0.9578,3,1,train
OBS0002,1.55723,0.93283,0,1,train
OBS0003,2.36154,-0.2263,2,1,train
OBS0004,-1.02659,0.4624,0,0,train
OBS0005,0.12694,1.79128,0,0,train
OBS0006,0.24056,0.47499,3,1,train
OBS0007,1.0074,0.8814,0,0,train
OBS0008,-0.24599,-1.4578,1,1,train
OBS0009,-0.54214,1.10953,2,0,train
OBS0010,0.61896,0.2566,1,0,train
OBS0011,0.01873,0.09151,2,0,train
OBS0012,-0.24852,2.18125,0,0,train
OBS0013,-1.72173,-2.92442,3,1,train
OBS0014,-0.48755,0.84022,1,0,train
OBS0015,-0.04253,-0.50006,2,0,train
OBS0016,-0.47995,-0.86651,1,0,train
OBS0017,-0.46152,-0.49877,2,1,train
OBS0018,-2.40696,1.25265,3,0,train
OBS0019,-0.30235,1.30546,2,1,train
OBS0020,0.41865,2.32357,0,0,train
OBS0021,-2.34305,0.10744,0,0,train
OBS0022,0.66994,-0.61131,3,1,train
OBS0023,-1.15344,-1.04562,1,1,train
OBS0024,-0.28063,-0.15521,0,1,train
OBS0025,2.08157,-0.19969,3,1,train
OBS0026,0.15201,-1.59222,2,1,train
OBS0027,-0.77824,-0.93442,0,0,train
OBS0028,-1.84113,-0.45419,0,0,train
OBS0029,-0.114,-0.33546,2,1,train
OBS0030,0.36324,-0.85004,1,1,train
OBS0031,-2.72211,-0.86047,3,0,train
OBS0032,1.22523,0.10222,1,1,train
OBS0033,-0.04604,-0.56678,1,0,train
OBS0034,-0.31744,-0.25614,1,1,train
OBS0035,0.66564,-3.20903,1,1,train
OBS0036,-0.61914,1.09499,0,0,train
OBS0037,-1.00937,-1.80676,3,1,train
OBS0038,-0.91667,0.53303,2,0,train
OBS0039,1.56996,0.56401,3,1,train
OBS0040,1.67355,-0.57519,1,1,train
OBS0041,0.91098,-0.07392,2,1,train
OBS0042,-1.23352,-0.21364,1,0,train
OBS0043,-0.31963,-0.6321,2,1,train
OBS0044,-0.41474,-0.73389,1,0,train
OBS0045,0.43573,2.399,2,1,train
OBS0046,-0.23093,0.86425,0,1,train
OBS0047,-0.91347,-0.73888,2,0,train
OBS0048,1.03127,-0.21882,3,1,train
OBS0049,0.58981,-1.02535,3,1,train
OBS0050,-0.53644,-0.60068,2,1,train
OBS0051,0.05326,-1.46448,3,1,train
OBS0052,-1.25201,-0.05741,0,0,train
OBS0053,-0.21797,0.57549,0,0,train
OBS0054,-0.76487,-0.34454,2,0,train
OBS0055,-1.67313,-0.29156,1,0,train
OBS0056,1.19093,0.38232,2,1,train
OBS0057,0.66143,0.57072,2,1,train
OBS0058,-0.48933,0.79897,0,0,train
OBS0059,1.10889,-0.12258,3,1,train
OBS0060,0.04824,-1.56078,0,1,train
OBS0061,0.70306,1.52084,3,0,train
OBS0062,-0.8355,-1.65913,3,1,train
OBS0063,1.01565,-1.20299,1,1,train
OBS0064,-0.38079,0.1127,3,1,train
OBS0065,1.5918,0.5184,3,1,train
OBS0066,-0.75586,0.05385,2,0,train
OBS0067,-0.25132,0.74554,0,0,train
OBS0068,-0.76588,0.33596,0,0,train
OBS0069,-1.4803,-0.99392,1,0,train
OBS0070,0.48514,-0.14574,3,1,train
OBS0071,-1.27963,-0.14781,2,0,train
OBS0072,-0.56645,-0.50219,3,1,train
OBS0073,-1.70245,1.08421,1,0,train
OBS0074,-0.43403,1.87041,2,0,train
OBS0075,-2.91682,-0.71499,2,0,train
OBS0076,-1.44024,-0.80889,1,0,train
