ResponseID,ResponseSet,StartDate,EndDate,Finished,Status,mTurkCode,Q2,Intro,Q19_1,Q19_2,Q19_3,Q19_4,Q18,Q20_1,Q20_2,Q20_3,Q20_4,Q21,Q14_1,Q14_2,Q14_3,Q14_4,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q20,Q21_1,Q21_2,Q21_3,Q21_4,Q22,Q23_1,Q23_2,Q23_3,Q23_4,Q24,Q25_1,Q25_2,Q25_3,Q25_4,Q26,Q27_1,Q27_2,Q27_3,Q27_4,Q28,Q29_1,Q29_2,Q29_3,Q29_4,Q30,Q31_1,Q31_2,Q31_3,Q31_4,Q32,Q33_1,Q33_2,Q33_3,Q33_4,Q34,Q35_1,Q35_2,Q35_3,Q35_4,Q36,Q37_1,Q37_2,Q37_3,Q37_4,Q38,Q39_1,Q39_2,Q39_3,Q39_4,Q40,Q41_1,Q41_2,Q41_3,Q41_4,Q42,Q43_1,Q43_2,Q43_3,Q43_4,Q44,Q45_1,Q45_2,Q45_3,Q45_4,Q46,Q47_1,Q47_2,Q47_3,Q47_4,Q48,Q49_1,Q49_2,Q49_3,Q49_4,Q50,MLQ_1,MLQ_2,MLQ_3,MLQ_4,MLQ_5,MLQ_6,EA_1,EA_2,EA_3,EA_4,EA_5,D1,D2,RO-BR-FL_9,RO-BR-FL_10
ResponseID,ResponseSet,StartDate,EndDate,Finished,Status,mTurkCode,We are asking you to participate in a research study associated with a series of studies titled “...,"For the first section of this survey, you will be shown three words at a time.  Each triad will b...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Slide1,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Slide2,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Slide3,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Slide4,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Slide5,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Slide6,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Slide7,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Slide8,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Slide9,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Slide10,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Slide11,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Slide12,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Slide13,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Slide14,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Slide15,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Slide16,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Slide17,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Slide18,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Slide19,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Slide20,INSTRUCTIONS Please take a moment to think about what makes your life feel important to you. Plea...-I understand my life's meaning.,INSTRUCTIONS Please take a moment to think about what makes your life feel important to you. Plea...-My life has a clear sense of purpose.,INSTRUCTIONS Please take a moment to think about what makes your life feel important to you. Plea...-I have a good sense of what makes my life meaningful.,INSTRUCTIONS Please take a moment to think about what makes your life feel important to you. Plea...-I have discovered a satisfying life purpose.,INSTRUCTIONS Please take a moment to think about what makes your life feel important to you. Plea...-My life has no clear purpose.,"INSTRUCTIONS Please take a moment to think about what makes your life feel important to you. Plea...-Please select ""Absolutely Untrue"" here and continue with the survey as usual.",INSTRUCTIONS   Please rate to which extent you feel the following emotions at this time using the...-Happy,INSTRUCTIONS   Please rate to which extent you feel the following emotions at this time using the...-Anxious,INSTRUCTIONS   Please rate to which extent you feel the following emotions at this time using the...-Cheerful,INSTRUCTIONS   Please rate to which extent you feel the following emotions at this time using the...-Worried,INSTRUCTIONS   Please rate to which extent you feel the following emotions at this time using the...-Pleased,Please select your gender:,"Please specify your age, in years, below:",Display Order: Block Randomizer FL_9,Display Order: Block Randomizer FL_10
{'ImportId': 'responseId'},{'ImportId': 'responseSetId'},{'ImportId': 'startDate'},{'ImportId': 'endDate'},{'ImportId': 'finished'},{'ImportId': 'status'},{'ImportId': 'embeddedData-mTurkCode'},{'ImportId': 'QID1'},{'ImportId': 'QID9'},{'ImportId': 'QID11-1'},{'ImportId': 'QID11-2'},{'ImportId': 'QID11-3'},{'ImportId': 'QID11-4'},{'ImportId': 'QID10'},{'ImportId': 'QID12-1'},{'ImportId': 'QID12-2'},{'ImportId': 'QID12-3'},{'ImportId': 'QID12-4'},{'ImportId': 'QID13'},{'ImportId': 'QID14-1'},{'ImportId': 'QID14-2'},{'ImportId': 'QID14-3'},{'ImportId': 'QID14-4'},{'ImportId': 'QID15'},{'ImportId': 'QID16-1'},{'ImportId': 'QID16-2'},{'ImportId': 'QID16-3'},{'ImportId': 'QID16-4'},{'ImportId': 'QID17'},{'ImportId': 'QID18-1'},{'ImportId': 'QID18-2'},{'ImportId': 'QID18-3'},{'ImportId': 'QID18-4'},{'ImportId': 'QID20'},{'ImportId': 'QID21-1'},{'ImportId': 'QID21-2'},{'ImportId': 'QID21-3'},{'ImportId': 'QID21-4'},{'ImportId': 'QID22'},{'ImportId': 'QID23-1'},{'ImportId': 'QID23-2'},{'ImportId': 'QID23-3'},{'ImportId': 'QID23-4'},{'ImportId': 'QID24'},{'ImportId': 'QID25-1'},{'ImportId': 'QID25-2'},{'ImportId': 'QID25-3'},{'ImportId': 'QID25-4'},{'ImportId': 'QID26'},{'ImportId': 'QID27-1'},{'ImportId': 'QID27-2'},{'ImportId': 'QID27-3'},{'ImportId': 'QID27-4'},{'ImportId': 'QID28'},{'ImportId': 'QID29-1'},{'ImportId': 'QID29-2'},{'ImportId': 'QID29-3'},{'ImportId': 'QID29-4'},{'ImportId': 'QID30'},{'ImportId': 'QID31-1'},{'ImportId': 'QID31-2'},{'ImportId': 'QID31-3'},{'ImportId': 'QID31-4'},{'ImportId': 'QID32'},{'ImportId': 'QID33-1'},{'ImportId': 'QID33-2'},{'ImportId': 'QID33-3'},{'ImportId': 'QID33-4'},{'ImportId': 'QID34'},{'ImportId': 'QID35-1'},{'ImportId': 'QID35-2'},{'ImportId': 'QID35-3'},{'ImportId': 'QID35-4'},{'ImportId': 'QID36'},{'ImportId': 'QID37-1'},{'ImportId': 'QID37-2'},{'ImportId': 'QID37-3'},{'ImportId': 'QID37-4'},{'ImportId': 'QID38'},{'ImportId': 'QID39-1'},{'ImportId': 'QID39-2'},{'ImportId': 'QID39-3'},{'ImportId': 'QID39-4'},{'ImportId': 'QID40'},{'ImportId': 'QID41-1'},{'ImportId': 'QID41-2'},{'ImportId': 'QID41-3'},{'ImportId': 'QID41-4'},{'ImportId': 'QID42'},{'ImportId': 'QID43-1'},{'ImportId': 'QID43-2'},{'ImportId': 'QID43-3'},{'ImportId': 'QID43-4'},{'ImportId': 'QID44'},{'ImportId': 'QID45-1'},{'ImportId': 'QID45-2'},{'ImportId': 'QID45-3'},{'ImportId': 'QID45-4'},{'ImportId': 'QID46'},{'ImportId': 'QID47-1'},{'ImportId': 'QID47-2'},{'ImportId': 'QID47-3'},{'ImportId': 'QID47-4'},{'ImportId': 'QID48'},{'ImportId': 'QID49-1'},{'ImportId': 'QID49-2'},{'ImportId': 'QID49-3'},{'ImportId': 'QID49-4'},{'ImportId': 'QID50'},{'ImportId': 'QID8-1'},{'ImportId': 'QID8-2'},{'ImportId': 'QID8-3'},{'ImportId': 'QID8-4'},{'ImportId': 'QID8-5'},{'ImportId': 'QID8-6'},{'ImportId': 'QID7-1'},{'ImportId': 'QID7-2'},{'ImportId': 'QID7-3'},{'ImportId': 'QID7-4'},{'ImportId': 'QID7-5'},{'ImportId': 'QID2'},{'ImportId': 'QID4-TEXT'},{'ImportId': 'RO-BR-FL_9'},{'ImportId': 'RO-BR-FL_10'}
R_1EYDF82vQsJ8JHK,Default Response Set,7/8/2016 20:24,7/8/2016 20:25,1,0,74869144,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4.001,0,1,0,0,4.006,0,1,0,0,4.001,0,1,0,0,4.001,0,1,0,0,4,0,1,0,0,4.009,0,1,0,0,4,0,1,0,0,4.001,0,1,0,0,4,0,1,0,0,4,0,1,3,3,4,4,4,1,4,7,5,3,3,2,23,Incoherent,EA|MLQ
R_3QJL5an1zmnEdof,Default Response Set,7/8/2016 20:24,7/8/2016 20:25,1,0,60642903,1,1,0,0,4.003,0,1,0,0,4.003,0,1,0,0,4.002,0,1,0,0,4.001,0,1,0,0,4.003,0,1,0,0,4.006,0,1,0,0,4.002,0,1,0,0,4.002,0,1,0,0,4.002,0,1,0,0,4.119,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,4,4,1,4,4,6,6,3,2,18,Coherent,MLQ|EA
R_2XglffmS7f8bZqg,Default Response Set,7/8/2016 20:24,7/8/2016 20:26,1,0,67752565,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4.003,0,1,0,0,4.004,0,1,0,0,4.001,0,1,0,0,4.004,0,1,0,0,4.002,0,1,0,0,4.005,0,1,0,0,4.002,0,1,0,0,4.005,0,1,0,0,4.002,0,1,0,0,4.003,0,1,3,3,4,4,4,1,3,3,3,4,3,2,19,Incoherent,MLQ|EA
R_26fNzMIaHveDksz,Default Response Set,7/8/2016 20:24,7/8/2016 20:26,1,0,67364516,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4.004,0,1,0,0,4.003,0,1,0,0,4.001,0,1,0,0,4.001,0,1,0,0,4.002,0,1,0,0,4.01,0,1,0,0,4.003,0,1,0,0,4.001,0,1,0,0,4.003,0,1,0,0,4.003,0,1,4,5,5,4,5,1,4,3,3,3,4,2,33,Incoherent,EA|MLQ
R_2af8JXjQRiOPcRR,Default Response Set,7/8/2016 20:24,7/8/2016 20:26,1,0,1278396,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4.002,0,1,0,0,4.001,0,1,0,0,4.001,0,1,0,0,4.001,0,1,0,0,4.002,0,1,0,0,4.001,0,1,0,0,4,0,1,0,0,4.001,0,1,0,0,4.001,0,1,0,0,4.001,0,1,6,5,5,6,2,1,4,3,4,3,3,2,24,Incoherent,EA|MLQ
R_1HjeYCxKjLZ6sTm,Default Response Set,7/8/2016 20:24,7/8/2016 20:26,1,0,15223985,1,1,0,0,4.003,0,1,0,0,4.002,0,1,0,0,4.005,0,1,0,0,4.009,0,1,0,0,4.012,0,1,0,0,4.002,0,1,0,0,4.001,0,1,0,0,4,0,1,0,0,4.009,0,1,0,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,1,5,3,4,2,5,1,34,Coherent,MLQ|EA
R_qEhVE1C4MORJdD3,Default Response Set,7/8/2016 20:24,7/8/2016 20:26,1,0,61879927,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4.143,0,1,0,0,4.116,0,1,0,0,4.155,0,1,0,0,4.116,0,1,0,0,4.082,0,1,0,0,4.213,0,1,0,0,4.28,0,1,0,0,4.063,0,1,0,0,4.075,0,1,0,0,4.074,0,1,6,7,6,6,2,1,6,4,5,3,4,2,26,Incoherent,EA|MLQ
R_2aOHUVTGnzsZTwN,Default Response Set,7/8/2016 20:24,7/8/2016 20:26,1,0,84843945,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4.218,0,1,0,0,4.006,0,1,0,0,4.142,0,1,0,0,4.044,0,1,0,0,4.267,0,1,0,0,4.164,0,1,0,0,4.01,0,1,0,0,4.141,0,1,0,0,4.156,0,1,0,0,4.038,0,1,5,5,5,5,5,1,5,2,3,1,4,2,20,Incoherent,MLQ|EA
R_3MPtVdlcXwy8ji7,Default Response Set,7/8/2016 20:24,7/8/2016 20:26,1,0,9277345,1,1,0,0,4.003,0,1,0,0,4.002,0,1,0,0,4.002,0,1,0,0,4.001,0,1,0,0,4.003,0,1,0,0,4.003,0,1,0,0,4.002,0,1,0,0,4.001,0,1,0,0,4.002,0,1,0,0,4.002,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,3,5,1,3,6,4,5,3,2,52,Coherent,EA|MLQ
R_STRQQ8jzn2ahhgl,Default Response Set,7/8/2016 20:24,7/8/2016 20:26,1,0,79749866,1,1,0,0,4.003,0,1,0,0,4.004,0,1,0,0,4.003,0,1,0,0,4.001,0,1,0,0,4.002,0,1,0,0,4.003,0,1,0,0,4.002,0,1,0,0,4.001,0,1,0,0,4.001,0,1,0,0,4.001,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,2,1,4,2,4,2,3,2,24,Coherent,MLQ|EA
R_2Ysxr6Q9B1T7oYQ,Default Response Set,7/8/2016 20:24,7/8/2016 20:26,1,0,19057031,1,1,0,0,4.003,0,1,0,0,4.003,0,1,0,0,4.003,0,1,0,0,4.002,0,1,0,0,4.002,0,1,0,0,4.005,0,1,0,0,4.003,0,1,0,0,4.003,0,1,0,0,4.003,0,1,0,0,4.002,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,5,1,2,6,3,6,3,2,20,Coherent,MLQ|EA
R_2dYk8HbayxtHgVL,Default Response Set,7/8/2016 20:24,7/8/2016 20:26,1,0,89163095,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4.008,0,1,0,0,4.004,0,1,0,0,4.01,0,1,0,0,4.012,0,1,0,0,4.002,0,1,0,0,4.006,0,1,0,0,4,0,1,0,0,4.014,0,1,0,0,4.001,0,1,0,0,4.002,0,1,3,6,5,4,5,1,5,2,5,2,6,2,45,Incoherent,EA|MLQ
R_27ChXV0ln4P4hJb,Default Response Set,7/8/2016 20:24,7/8/2016 20:26,1,0,29409704,1,1,1.811,1.811,4.009,1,1,1.629,1.629,4,1,1,0.777,3.195,4.008,2,1,2.627,2.627,4.007,1,1,3.901,3.901,4.009,1,1,0.817,3.611,4.007,2,1,2.521,2.521,4.001,1,1,1.136,1.136,4.011,1,1,0,0,4.012,0,1,0,0,4.01,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,5,2,1,3,6,3,3,3,1,30,Coherent,EA|MLQ
R_3Djaf14pAximW8r,Default Response Set,7/8/2016 20:24,7/8/2016 20:26,1,0,84617459,1,1,0,0,4.007,0,1,0,0,4.004,0,1,0,0,4.005,0,1,0,0,4.005,0,1,0,0,4.004,0,1,0,0,4.004,0,1,0,0,4.004,0,1,0,0,4.002,0,1,0,0,4.005,0,1,0,0,4.003,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,1,1,5,5,5,5,5,2,60,Coherent,MLQ|EA
R_29moYxrv6MXcQ8u,Default Response Set,7/8/2016 20:24,7/8/2016 20:26,1,0,34128295,1,1,0,0,4.129,0,1,0,0,4.184,0,1,0,0,4.121,0,1,0,0,4.188,0,1,0,0,4.198,0,1,0,0,4.123,0,1,0,0,4.479,0,1,0,0,4.126,0,1,0,0,4.117,0,1,0,0,4.139,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,5,5,1,1,5,1,6,1,6,1,26,Coherent,MLQ|EA
